숙박업명,구군명,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,위도,경도,주변숙박업소수,관광지_5km_내_개수,객실수_구간,평균가격_구간,공항과의거리_구간,군집,편의시설,주변 관광지,가격대,공항과의 거리
히든 클리프 호텔 앤 네이처,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,33.2548845,126.4023408,4,30,중간 규모,고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
스위트 호텔 제주,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,33.2493324,126.4083941,5,19,소규모,고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
제주 신라 호텔,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,33.2471631,126.4079553,5,18,대규모,초고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
롯데호텔 제주,제주시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,33.2484468,126.4106058,22,19,대규모,초고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
WE 호텔 제주,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,33.2861399,126.4442086,0,10,중간 규모,고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
그랜드 조선 제주,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,33.2524795,126.4080501,5,23,중간 규모,초고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
메이더호텔,제주시,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,33.4996213,126.5311884,0,29,소규모,저가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
라마다프라자제주호텔,제주시,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,33.518851,126.5180058,4,27,대규모,고가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
오션그랜드호텔,제주시,Y,Y,Y,Y,N,N,N,N,Y,Y,N,33.542539,126.6652655,1,14,소규모,저가,중간 거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
엠버시티호텔,제주시,N,N,Y,Y,N,N,N,N,N,N,N,33.486297,126.4817076,16,34,소규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
